language,language_name,resource_level,steady_energy_per_token_J,total_output_tokens,total_input_tokens,completed,duration,steady_state_duration,whole_gpu_energy_J,accuracy_strict,accuracy_lenient,num_correct_strict,num_correct_lenient,num_format_failures,num_evaluated
acm_Arab,Mesopotamian Arabic,Low,0.11621243396170758,532738,275461,900,208.74675369262695,164.09205985069275,{'0': 66765.43799996376},0.0011111111111111111,0.7233333333333334,1,651,896,900
afr_Latn,Afrikaans,High,0.11627450896897294,424235,299198,900,170.0550980567932,125.72542691230774,{'0': 54531.47600007057},0.27111111111111114,0.8722222222222222,244,785,629,900
als_Latn,Tosk Albanian,High,0.1283152670920739,462449,386070,900,632.5714797973633,143.07605051994324,{'0': 188963.99500012398},0.3711111111111111,0.8122222222222222,334,731,481,900
amh_Ethi,Amharic,Low,0.48074416978060963,2048079,722428,900,4022.2452816963196,2118.131261110306,{'0': 1212566.1010000706},0.0033333333333333335,0.4255555555555556,3,383,884,900
apc_Arab,North Levantine Arabic,Low,0.11218869412721376,315102,272658,900,126.42274022102356,91.296550989151,{'0': 39436.53900003433},0.0,0.7511111111111111,0,676,899,900
arb_Arab,Modern Standard Arabic,High,0.11624474162322788,217531,284502,900,92.22736287117004,63.10093641281128,{'0': 28685.060000181198},0.26,0.8077777777777778,234,727,624,900
arb_Latn,Modern Standard Arabic (Latin),High,0.15223950354752883,720450,411971,900,363.20080852508545,273.66261863708496,{'0': 118149.40799999237},0.0077777777777777776,0.3611111111111111,7,325,872,900
ars_Arab,Najdi Arabic,Low,0.11799737719019472,253562,281370,900,557.0555593967438,67.70929145812988,{'0': 168121.49699997902},0.46444444444444444,0.7522222222222222,418,677,363,900
ary_Arab,Moroccan Arabic,Low,0.12103111135799159,550284,396803,900,229.25865292549133,165.06225967407227,{'0': 74622.22499990463},0.0033333333333333335,0.6455555555555555,3,581,887,900
arz_Arab,Egyptian Arabic,Low,0.11599171400154915,224620,281716,900,93.68247699737549,64.20588397979736,{'0': 29162.78800010681},0.8133333333333334,0.8133333333333334,732,732,1,900
asm_Beng,Assamese,Low,0.23374205646286422,1445450,917131,900,1480.0739016532898,789.0681772232056,{'0': 445473.9800000191},0.011111111111111112,0.6711111111111111,10,604,883,900
azj_Latn,N. Azerbaijani,Low,0.14533260897723646,631317,371383,900,315.1738851070404,226.7110719680786,{'0': 101583.99699997902},0.006666666666666667,0.7066666666666667,6,636,879,900
bam_Latn,Bambara,Low,0.14933986614245415,1119522,380906,900,2314.0115928649902,248.7923469543457,{'0': 657298.0190000534},0.0033333333333333335,0.22666666666666666,3,204,894,900
ben_Beng,Bengali,High,0.22255226903747105,1199146,843778,900,851.6768624782562,601.2880964279175,{'0': 285547.00900006294},0.7822222222222223,0.7833333333333333,704,705,4,900
ben_Latn,Bengali (Latin),High,0.1640107372973376,935815,339938,900,845.2752809524536,353.1584939956665,{'0': 269147.7309999466},0.1111111111111111,0.29888888888888887,100,269,633,900
bod_Tibt,Tibetan,Low,0.8474466078686632,3543429,1208180,900,9596.503034830093,4741.708868980408,{'0': 2966088.3940000534},0.0022222222222222222,0.21888888888888888,2,197,871,900
bul_Cyrl,Bulgarian,High,0.12442682012038997,362387,395683,900,154.11147212982178,115.37590146064758,{'0': 49233.06599998474},0.8988888888888888,0.8988888888888888,809,809,0,900
cat_Latn,Catalan,High,0.11422963017996725,306329,295120,900,123.31893396377563,91.09949088096619,{'0': 38825.1930000782},0.8966666666666666,0.8966666666666666,807,807,0,900
ceb_Latn,Cebuano,Low,0.12090458705994618,437536,342330,900,695.7384166717529,120.80553460121155,{'0': 188421.53200006485},0.0,0.7466666666666667,0,672,900,900
ces_Latn,Czech,High,0.12963167891530725,557529,381140,900,238.27342891693115,182.05416917800903,{'0': 78617.24000000954},0.22111111111111112,0.8933333333333333,199,804,680,900
ckb_Arab,Central Kurdish,Low,0.17581835138198262,859082,602043,900,1048.1443169116974,332.1454408168793,{'0': 301311.8220000267},0.0033333333333333335,0.3377777777777778,3,304,893,900
dan_Latn,Danish,High,0.11339854356956927,427814,301342,900,166.57181453704834,125.7506914138794,{'0': 52697.481999874115},0.7822222222222223,0.89,704,801,104,900
deu_Latn,German,High,0.11176881108654566,297520,273576,900,119.43601298332214,86.29413628578186,{'0': 37440.08899998665},0.6755555555555556,0.9211111111111111,608,829,241,900
ell_Grek,Greek,High,0.19878248949558996,804328,831166,900,523.9265897274017,369.33143520355225,{'0': 172465.0799999237},0.8544444444444445,0.8666666666666667,769,780,13,900
eng_Latn,English,High,0.10492743714009667,167621,191662,900,66.33624386787415,44.635467767715454,{'0': 20293.579999923706},0.9455555555555556,0.9455555555555556,851,851,0,900
est_Latn,Estonian,High,0.1203739901267848,430745,338356,900,181.79561257362366,134.81282091140747,{'0': 58308.81500005722},0.3288888888888889,0.7622222222222222,296,686,507,900
eus_Latn,Basque,High,0.12492624166715555,253348,337665,900,116.29364061355591,75.14900302886963,{'0': 36662.3180000782},0.6755555555555556,0.6755555555555556,608,608,0,900
fin_Latn,Finnish,High,0.12054243774473435,397741,338478,900,166.3013994693756,123.34438681602478,{'0': 52646.7460000515},0.24888888888888888,0.7844444444444445,224,706,639,900
fra_Latn,French,High,0.11333813782431446,259581,285058,900,104.42347359657288,75.8065927028656,{'0': 32295.59700012207},0.0011111111111111111,0.9166666666666666,1,825,899,900
fuv_Latn,Fulfulde,Low,0.1305256722048382,1475561,335000,900,4230.205330610275,169.83308959007263,{'0': 1225794.0080001354},0.0011111111111111111,0.21555555555555556,1,194,896,900
gaz_Latn,West Central Oromo,Low,0.14388878266517316,615207,403581,900,765.9820578098297,207.0120587348938,{'0': 212107.64899992943},0.0,0.2811111111111111,0,253,898,900
grn_Latn,Guarani,Low,0.1245734416486422,418942,384596,900,181.48704600334167,129.85708141326904,{'0': 58327.47299981117},0.0011111111111111111,0.34,1,306,897,900
guj_Gujr,Gujarati,Low,0.26775855593591663,1781503,1124203,900,1551.1181349754333,823.3479354381561,{'0': 493386.9519999027},0.0011111111111111111,0.6988888888888889,1,629,893,900
hat_Latn,Haitian Creole,Low,0.1252893101310422,657970,322532,900,677.3368661403656,209.95931124687195,{'0': 198922.16100001335},0.0011111111111111111,0.6144444444444445,1,553,895,900
