tier,language,qwen3_8b_jpt,qwen3_14b_jpt,llama3_1_8b_jpt,qwen3_14b_censored
LOW,eng_Latn,0.197,0.312,0.164,False
LOW,spa_Latn,0.216,0.345,0.189,False
LOW,zho_Hans,0.199,0.289,0.206,False
LOW,vie_Latn,0.214,0.348,0.181,False
MID,rus_Cyrl,0.239,0.378,0.188,False
MID,hin_Deva,0.365,0.604,0.215,False
MID,tha_Thai,0.238,0.63,0.337,False
MID,fra_Latn,0.515,0.415,0.187,False
HIGH,pbt_Arab,0.774,2.041,0.23,False
HIGH,tir_Ethi,0.934,0.529,0.417,False
HIGH,shn_Mymr,1.08,2.731,1.179,False
HIGH,bod_Tibt,1.348,2.9,1.025,True
